id,titre,categorie,effort,saison,tags
1,Nuit dans une cabane dans les arbres,Nature & Détente,Faible,Printemps/Été,"forêt, calme, insolite, nature, couple"
2,Stage de survie en forêt,Aventure & Sport,Intense,Toutes,"survie, feu, adrénaline, groupe, nature"
3,Atelier de poterie artisanale,Créatif & Culture,Faible,Toutes,"manuel, argile, détente, intérieur, solo"
4,Randonnée nocturne et astronomie,Nature & Découverte,Moyen,Été/Automne,"étoiles, marche, nuit, espace, nature"
5,Vol en montgolfière au lever du soleil,Aventure & Détente,Faible,Printemps/Été,"ciel, panorama, insolite, couple, matin"
6,Initiation à l'apnée en lac,Aventure & Sport,Intense,Été,"eau, respiration, sport, nature, adrénaline"
7,Création de son propre parfum,Créatif & Culture,Faible,Toutes,"odeur, luxe, intérieur, solo, manuel"
8,Bivouac hivernal en raquettes,Aventure & Sport,Intense,Hiver,"neige, froid, montagne, survie, sport"
9,Dégustation de vins dans une grotte,Gastronomie,Faible,Toutes,"vin, souterrain, insolite, groupe, dégustation"
10,Balade en chiens de traîneau,Nature & Découverte,Moyen,Hiver,"animaux, neige, hiver, famille, nature"
11,Canoë-kayak au coucher du soleil,Nature & Sport,Moyen,Été,"eau, rivière, soleil, sport, détente"
12,Atelier cuisine locale et sauvage,Gastronomie & Nature,Faible,Printemps/Été,"cuisine, plantes, nature, groupe, manuel"
13,Nuit dans un igloo,Nature & Insolite,Moyen,Hiver,"neige, froid, insolite, couple, montagne"
14,Initiation à la forge et coutellerie,Créatif & Artisanat,Moyen,Toutes,"métal, feu, manuel, artisanat, intérieur"
15,Saut à l'élastique depuis un viaduc,Aventure & Frissons,Moyen,Printemps/Été,"vide, adrénaline, extrême, hauteur, solo"
16,Retraite yoga et méditation en monastère,Détente & Bien-être,Faible,Toutes,"zen, calme, spirituel, intérieur, groupe"
17,Chasse au trésor urbaine (Escape Game géant),Découverte & Jeu,Moyen,Toutes,"ville, énigmes, groupe, fun, marche"
18,Atelier d'apiculture (découverte des abeilles),Nature & Découverte,Faible,Printemps/Été,"animaux, miel, nature, famille, apprentissage"
19,Stage de photographie animalière,Nature & Créatif,Moyen,Toutes,"photo, animaux, patience, nature, apprentissage"
20,Conduite d'une motoneige,Aventure & Sport,Moyen,Hiver,"vitesse, neige, moteur, adrénaline, montagne"
